Time,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
580.0,0.005675,0.001392,0.003263,0.004933,0.008737,0.009574,0.014612,0.00115,0.001091,0.005724,0.004683,0.001264,0.003182,0.00321,0.001208,0.007588,0.003616,0.003654,0.001173
585.0,0.008027,0.001545,0.003614,0.004228,0.008148,0.018929,0.011008,0.001159,0.001189,0.00264,0.00485,0.001462,0.003409,0.006252,0.001272,0.003281,0.003414,0.003012,0.00141
590.0,0.011816,0.001393,0.003837,0.005204,0.006239,0.009285,0.006602,0.001318,0.001465,0.003258,0.00368,0.00112,0.003475,0.003679,0.002134,0.003883,0.003234,0.003428,0.001208
595.0,0.005404,0.001434,0.003384,0.003366,0.004404,0.009322,0.009816,0.001155,0.001158,0.002643,0.006102,0.001028,0.003394,0.00895,0.0,0.008449,0.022505,0.003189,0.00124
600.0,0.006944,0.0,0.004585,0.00375,0.009,0.02539,0.006074,0.001805,0.001575,0.003348,0.005571,0.001106,0.003391,0.003315,0.001548,0.005067,0.003612,0.002945,0.001302
605.0,0.0,0.001487,0.00386,0.003472,0.005546,0.0108,0.010669,0.00133,0.001362,0.007627,0.004607,0.001102,0.003563,0.003576,0.0,0.008849,0.0,0.0,0.001308
610.0,0.005999,0.001647,0.003707,0.009727,0.006479,0.009516,0.005832,0.001382,0.001145,0.010831,0.00706,0.001231,0.003403,0.008835,0.017756,0.003618,0.004143,0.003303,0.001664
615.0,0.0,0.001134,0.003309,0.00692,0.007962,0.009659,0.005885,0.001114,0.001274,0.002531,0.004741,0.001043,0.003177,0.006598,0.001438,0.005653,0.00334,0.003075,0.001034
620.0,0.008582,0.001264,0.003361,0.003396,0.005279,0.010538,0.006554,0.001058,0.001435,0.002571,0.006628,0.001098,0.003362,0.006068,0.001294,0.003416,0.002772,0.002918,0.001314
625.0,0.00695,0.001317,0.004281,0.007455,0.007151,0.012143,0.010568,0.001383,0.00131,0.004026,0.00585,0.001263,0.003622,0.004693,0.001304,0.019717,0.0,0.004478,0.002087
630.0,0.0,0.001304,0.003395,0.008073,0.010293,0.020812,0.005857,0.001345,0.001098,0.003097,0.004644,0.00107,0.003716,0.006916,0.001272,0.003189,0.003404,0.003013,0.001357
635.0,0.006118,0.001062,0.003311,0.003455,0.006827,0.017221,0.00597,0.00113,0.001217,0.002746,0.004485,0.001188,0.003222,0.003356,0.001215,0.008706,0.00302,0.003171,0.001082
640.0,0.008396,0.001501,0.003634,0.006258,0.00457,0.01032,0.005988,0.001961,0.001341,0.010833,0.007927,0.001194,0.003465,0.00366,0.001434,0.003673,0.003187,0.003303,0.001286
645.0,0.006635,0.001126,0.003675,0.005298,0.004996,0.011891,0.011191,0.001716,0.001116,0.002851,0.004547,0.001343,0.006104,0.003322,0.001671,0.003282,0.003558,0.004078,0.001281
650.0,0.005713,0.001331,0.003694,0.006149,0.005768,0.009757,0.006096,0.001145,0.00117,0.007498,0.004709,0.001129,0.003383,0.003611,0.001234,0.009736,0.003583,0.003713,0.001455
655.0,0.006379,0.006426,0.004456,0.005155,0.006076,0.010911,0.006097,0.001256,0.001629,0.002946,0.00595,0.004454,0.003511,0.004381,0.001397,0.003408,0.003759,0.004198,0.001211
660.0,0.00998,0.001448,0.003556,0.006636,0.004748,0.042121,0.006352,0.001268,0.001134,0.005736,0.008882,0.001261,0.003368,0.007563,0.001183,0.007206,0.003521,0.003062,0.001199
665.0,0.007018,0.001304,0.003576,0.005816,0.005579,0.018865,0.006492,0.001738,0.001213,0.002907,0.004907,0.00112,0.005375,0.003546,0.001419,0.01154,0.003754,0.00414,0.001165
670.0,0.006095,0.001424,0.004468,0.006213,0.008626,0.009435,0.006422,0.001473,0.001307,0.010098,0.008246,0.001303,0.003946,0.007881,0.020288,0.004358,0.003852,0.003587,0.001819
675.0,0.006065,0.001203,0.003774,0.004868,0.006706,0.009147,0.010938,0.001335,0.00122,0.004989,0.00382,0.001189,0.004168,0.008409,0.001475,0.003639,0.003826,0.00347,0.001475
680.0,0.0,0.001363,0.003286,0.003128,0.011154,0.035873,0.006714,0.001077,0.001115,0.002801,0.003142,0.001228,0.003702,0.003593,0.001077,0.003591,0.002924,0.003133,0.001086
685.0,0.005797,0.001258,0.004268,0.003689,0.007503,0.011166,0.01058,0.001495,0.001263,0.003031,0.004968,0.001259,0.003613,0.003465,0.001409,0.008534,0.00376,0.003693,0.001428
